month,date,time,user,command,working,non-working,class
Jan,27,11:33:32,heavyfeather-Extensa-2540,sddm-helper: pam_unix(sddm-greeter:session): session opened for user sddm(uid=119) by (uid=0),1,0,normal
Jan,27,11:33:33,heavyfeather-Extensa-2540,systemd-logind[758]: New session 1 of user sddm.,1,0,normal
Jan,27,11:33:33,heavyfeather-Extensa-2540,systemd: pam_unix(systemd-user:session): session opened for user sddm(uid=119) by (uid=0),1,0,normal
Jan,27,11:34:01,heavyfeather-Extensa-2540,sddm-helper: pam_unix(sddm:auth): authentication failure  logname= uid=0 euid=0 tty= ruser= rhost=  user=heavyfeather,1,0,normal
Jan,27,11:34:08,heavyfeather-Extensa-2540,sddm-helper: pam_kwallet5(sddm:auth): pam_kwallet5: pam_sm_authenticate,1,0,normal
Jan,27,11:34:08,heavyfeather-Extensa-2540,sddm-helper: pam_kwallet5(sddm:setcred): pam_kwallet5: pam_sm_setcred,1,0,normal
Jan,27,11:34:08,heavyfeather-Extensa-2540,sddm-helper: pam_unix(sddm:session): session opened for user heavyfeather(uid=1000) by (uid=0),1,0,normal
Jan,27,11:34:08,heavyfeather-Extensa-2540,systemd-logind[758]: New session 3 of user heavyfeather.,1,0,normal
Jan,27,11:34:08,heavyfeather-Extensa-2540,systemd: pam_unix(systemd-user:session): session opened for user heavyfeather(uid=1000) by (uid=0),1,0,normal
Jan,27,11:34:09,heavyfeather-Extensa-2540,sddm-helper: pam_kwallet5(sddm:session): pam_kwallet5: pam_sm_open_session,1,0,normal
Jan,27,11:34:10,heavyfeather-Extensa-2540,sddm-helper: pam_unix(sddm-greeter:session): session closed for user sddm,1,0,normal
Jan,27,11:34:10,heavyfeather-Extensa-2540,systemd-logind[758]: Session 1 logged out. Waiting for processes to exit.,1,0,normal
Jan,27,11:34:10,heavyfeather-Extensa-2540,systemd-logind[758]: Removed session 1.,1,0,normal
Jan,27,11:34:19,heavyfeather-Extensa-2540,polkitd(authority=local): Registered Authentication Agent for unix-session:3 (system bus name :1.60 [/usr/lib/x86_64-linux-gnu/libexec/polkit-kde-authentication-agent-1]  object path /org/kde/PolicyKit1/AuthenticationAgent  locale ru_RU.UTF-8),1,0,normal
Jan,27,11:39:15,heavyfeather-Extensa-2540,PackageKit: uid 1000 is trying to obtain org.freedesktop.packagekit.system-sources-refresh auth (only_trusted:0),1,0,normal
Jan,27,11:39:15,heavyfeather-Extensa-2540,PackageKit: uid 1000 obtained auth for org.freedesktop.packagekit.system-sources-refresh,1,0,normal
Jan,27,11:52:49,heavyfeather-Extensa-2540,PackageKit: uid 1000 is trying to obtain org.freedesktop.packagekit.system-update auth (only_trusted:1),1,0,normal
Jan,27,11:52:56,heavyfeather-Extensa-2540,polkitd(authority=local): Operator of unix-session:3 successfully authenticated as unix-user:heavyfeather to gain TEMPORARY authorization for action org.freedesktop.packagekit.system-update for system-bus-name::1.126 [/usr/bin/plasma-discover --mode update] (owned by unix-user:heavyfeather),1,0,normal
Jan,27,11:52:56,heavyfeather-Extensa-2540,PackageKit: uid 1000 obtained auth for org.freedesktop.packagekit.system-update,1,0,normal
Jan,27,12:17:01,heavyfeather-Extensa-2540,CRON[22157]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,normal
Jan,27,12:17:01,heavyfeather-Extensa-2540,CRON[22157]: pam_unix(cron:session): session closed for user root,1,0,normal
Jan,27,12:30:01,heavyfeather-Extensa-2540,CRON[22328]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,normal
Jan,27,12:30:01,heavyfeather-Extensa-2540,CRON[22328]: pam_unix(cron:session): session closed for user root,1,0,normal
Jan,27,13:17:01,heavyfeather-Extensa-2540,CRON[22652]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,normal
Jan,27,13:17:01,heavyfeather-Extensa-2540,CRON[22652]: pam_unix(cron:session): session closed for user root,1,0,normal
Jan,27,13:30:01,heavyfeather-Extensa-2540,CRON[22736]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,normal
Jan,27,13:30:02,heavyfeather-Extensa-2540,CRON[22736]: pam_unix(cron:session): session closed for user root,1,0,normal
Jan,27,13:44:06,heavyfeather-Extensa-2540,systemd-logind[758]: Lid closed.,1,0,normal
Jan,27,14:55:58,heavyfeather-Extensa-2540,systemd-logind[758]: Lid opened.,1,0,normal
