month,date,time,user,command,working,non-working,class
Feb,13,00:17:01,heavyfeather-Extensa-2540,CRON[80604]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),0,1,0
Feb,13,00:17:01,heavyfeather-Extensa-2540,CRON[80604]: pam_unix(cron:session): session closed for user root,0,1,0
Feb,13,00:47:39,heavyfeather-Extensa-2540,systemd-logind[780]: Lid closed.,0,1,0
Feb,13,10:50:44,heavyfeather-Extensa-2540,systemd-logind[780]: Lid opened.,1,0,0
Feb,13,10:50:45,heavyfeather-Extensa-2540,systemd-logind[780]: Operation 'sleep' finished.,1,0,0
Feb,13,11:17:01,heavyfeather-Extensa-2540,CRON[82893]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,0
Feb,13,11:17:01,heavyfeather-Extensa-2540,CRON[82893]: pam_unix(cron:session): session closed for user root,1,0,0
Feb,13,11:27:06,heavyfeather-Extensa-2540,systemd-logind[780]: Lid closed.,1,0,0
Feb,13,15:57:28,heavyfeather-Extensa-2540,systemd-logind[780]: Lid opened.,1,0,0
Feb,13,15:57:29,heavyfeather-Extensa-2540,systemd-logind[780]: Operation 'sleep' finished.,1,0,0
Feb,13,16:17:01,heavyfeather-Extensa-2540,CRON[84263]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,0
Feb,13,16:17:01,heavyfeather-Extensa-2540,CRON[84263]: pam_unix(cron:session): session closed for user root,1,0,0
Feb,13,16:30:01,heavyfeather-Extensa-2540,CRON[84299]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),1,0,0
Feb,13,16:30:01,heavyfeather-Extensa-2540,CRON[84299]: pam_unix(cron:session): session closed for user root,1,0,0
Feb,13,17:07:06,heavyfeather-Extensa-2540,systemd-logind[780]: Operation 'sleep' finished.,1,0,0
Feb,13,17:15:43,heavyfeather-Extensa-2540,systemd-logind[780]: Lid closed.,1,0,0
Feb,13,22:02:53,heavyfeather-Extensa-2540,systemd-logind[780]: Lid opened.,0,1,0
Feb,13,22:02:54,heavyfeather-Extensa-2540,systemd-logind[780]: Operation 'sleep' finished.,0,1,0
